pair-count,k-factor,v-factor,c_mean,std,hs-plain-unsafeffi_mean,std,hs-plain-safeffi_mean,std,hs-streamly-chunked-unsafeffi_mean,std,hs-streamly-chunked-safeffi_mean,std,hs-streamly-splitupstream-unsafeffi_mean,std,hs-streamly-splitupstream-safeffi_mean,std
300000,20,100,12609.197261333333,155.63414034993878,18697.031584,229.5850176823524,18067.880056,161.0127828210284,18118.96061633333,212.10653790797005,18538.482147333336,185.69980933324473,17935.491315333333,197.50419775778522,18602.711194,238.29776186332637
300000,20,200,34887.30443633333,581.158529714622,37602.84283666666,544.2906907057529,36532.205248666665,630.6786036033661,36334.838093666665,298.3362206778724,36842.84541266666,501.57398651020236,36308.716875,472.7066193529844,36615.92739633333,318.6227361309073
300000,20,300,44307.26010233333,744.4839318324223,48094.58905266666,744.2019702193611,46332.047246333335,724.9705687609683,46384.24320433333,533.9625641333388,47097.53384333333,635.4969852376778,47144.35182133333,819.756454108243,46983.647618,511.9065948495937
300000,40,100,21218.851381333334,217.01252030084703,22874.981956333333,265.7459384715534,22352.562410333332,279.35556120203586,22588.968225333334,432.31010930287044,22941.701526333334,441.54684885691097,22554.11388233333,348.3065494393519,23206.062676333335,524.2746912757087
300000,40,200,37641.59118233333,682.6839309161318,38236.13122433333,3454.013517588356,33841.011783333335,4218.212618265999,34507.386784,4085.1261093293647,34061.70366266667,4250.99896234131,34381.91882466667,3904.4025934616834,34377.798157666664,4110.951950106917
300000,40,300,44627.31876366667,3927.7791186993604,51679.27672333333,646.0246608396334,49689.05798133333,497.43970231268395,49855.57451966667,412.6013449562193,50657.27869566667,476.3219017756374,50331.71379466667,692.5865667092486,50709.402833,606.6979606996335
300000,60,100,23702.262798333333,287.3509743236176,25466.752503,415.0299531251478,24923.625389333334,198.00588708389725,25217.755137333334,378.4835848156126,25506.920857333334,357.1927239941021,25110.561804999998,486.6216837181676,25536.079223999997,320.9292574305039
300000,60,200,39986.58047833333,654.075391749337,42950.12567466667,686.1790249131103,41709.624748333335,684.919680858377,41989.14856566667,663.2472425517265,42353.737912666664,517.3711359445174,42094.997217,494.2968169050633,41851.41539466666,603.4984649212759
300000,60,300,50667.425972666664,617.2844029903061,55490.685860000005,795.352970435994,53362.33625866667,627.8892378206137,52772.511113,694.9955606064519,53773.495813333335,570.0946137075965,53972.617828999995,697.299939344517,54475.72421833334,671.1153139812012
